slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
randlju01,Julius Randle,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,2449,11,21,6,8,12,13,1,10,6,1,0,4,4,32.6
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,LOSS,1956,14,23,3,5,7,9,9,8,4,1,1,8,2,31.1
capelca01,Clint Capela,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,2489,12,17,0,0,1,5,9,13,1,2,1,0,3,28.7
irvinky01,Kyrie Irving,BROOKLYN NETS,AWAY,TORONTO RAPTORS,LOSS,2228,10,21,2,5,6,6,2,9,8,3,1,3,1,27.3
paulch01,Chris Paul,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,2035,10,17,5,8,3,4,1,2,8,0,1,0,1,26.9
sextoco01,Collin Sexton,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1881,11,17,3,5,5,6,2,1,7,1,0,2,3,26.5
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,2289,11,16,7,11,0,0,1,5,5,0,1,1,3,26.4
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,1882,8,12,0,0,7,8,1,7,5,3,1,1,1,26.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,1980,10,22,4,11,6,10,2,8,9,2,0,3,2,25.3
brogdma01,Malcolm Brogdon,INDIANA PACERS,HOME,OKLAHOMA CITY THUNDER,WIN,2358,11,23,3,8,4,4,2,13,7,1,0,3,2,24.7
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,2341,8,20,1,6,13,14,0,5,7,2,1,2,4,24.3
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,2187,8,21,2,6,11,11,1,9,4,2,0,1,2,23.9
youngtr01,Trae Young,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1789,6,17,1,4,7,7,0,2,14,4,0,1,0,23.9
