Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (17225171),Luka Doncic,17225171,PG/SF/F/G/UTIL,11000,LAL@DAL 04/24/2021 08:30PM ET,DAL,55.45
C,Nikola Jokic (17225176),Nikola Jokic,17225176,C/UTIL,10900,HOU@DEN 04/24/2021 10:00PM ET,DEN,58.22
C,Karl-Anthony Towns (17225178),Karl-Anthony Towns,17225178,C/UTIL,10500,MIN@UTA 04/24/2021 09:00PM ET,MIN,50.30
C,Nikola Vucevic (17225180),Nikola Vucevic,17225180,C/UTIL,10200,CHI@MIA 04/24/2021 08:00PM ET,CHI,48.28
PF/C,Zion Williamson (17225182),Zion Williamson,17225182,PF/C/F/UTIL,10100,SA@NO 04/24/2021 08:00PM ET,NO,43.55
PG,LeBron James (17225186),LeBron James,17225186,PG/G/UTIL,9800,LAL@DAL 04/24/2021 08:30PM ET,LAL,50.71
PG/SG,Donovan Mitchell (17225189),Donovan Mitchell,17225189,PG/SG/G/UTIL,9700,MIN@UTA 04/24/2021 09:00PM ET,UTA,42.69
SF,Jimmy Butler (17225193),Jimmy Butler,17225193,SF/F/UTIL,9500,CHI@MIA 04/24/2021 08:00PM ET,MIA,46.02
PF/C,Anthony Davis (17225196),Anthony Davis,17225196,PF/C/F/UTIL,9400,LAL@DAL 04/24/2021 08:30PM ET,LAL,42.51
SG,Zach LaVine (17225200),Zach LaVine,17225200,SG/G/UTIL,9300,CHI@MIA 04/24/2021 08:00PM ET,CHI,44.11
PF/C,Domantas Sabonis (17225203),Domantas Sabonis,17225203,PF/C/F/UTIL,9200,DET@IND 04/24/2021 07:00PM ET,IND,46.95
PF/C,Kristaps Porzingis (17225207),Kristaps Porzingis,17225207,PF/C/F/UTIL,9000,LAL@DAL 04/24/2021 08:30PM ET,DAL,39.38
SF,Brandon Ingram (17225211),Brandon Ingram,17225211,SF/F/UTIL,8800,SA@NO 04/24/2021 08:00PM ET,NO,40.47
SF,DeMar DeRozan (17225214),DeMar DeRozan,17225214,SF/F/UTIL,8500,SA@NO 04/24/2021 08:00PM ET,SA,39.08
C,Rudy Gobert (17225217),Rudy Gobert,17225217,C/UTIL,8400,MIN@UTA 04/24/2021 09:00PM ET,UTA,40.41
C,Bam Adebayo (17225219),Bam Adebayo,17225219,C/UTIL,8300,CHI@MIA 04/24/2021 08:00PM ET,MIA,42.21
PG,Malcolm Brogdon (17225225),Malcolm Brogdon,17225225,PG/G/UTIL,8300,DET@IND 04/24/2021 07:00PM ET,IND,39.77
PF/C,Christian Wood (17225221),Christian Wood,17225221,PF/C/F/UTIL,8200,HOU@DEN 04/24/2021 10:00PM ET,HOU,40.03
SG,Caris LeVert (17225232),Caris LeVert,17225232,SG/G/UTIL,8100,DET@IND 04/24/2021 07:00PM ET,IND,35.24
SF/PF,Michael Porter Jr. (17225228),Michael Porter Jr.,17225228,SF/PF/F/UTIL,8000,HOU@DEN 04/24/2021 10:00PM ET,DEN,33.11
C,Andre Drummond (17225235),Andre Drummond,17225235,C/UTIL,7500,LAL@DAL 04/24/2021 08:30PM ET,LAL,40.32
PG,John Wall (17225237),John Wall,17225237,PG/G/UTIL,7400,HOU@DEN 04/24/2021 10:00PM ET,HOU,38.13
SG/SF,Anthony Edwards (17225240),Anthony Edwards,17225240,SG/SF/F/G/UTIL,7300,MIN@UTA 04/24/2021 09:00PM ET,MIN,30.86
PG,Dejounte Murray (17225245),Dejounte Murray,17225245,PG/G/UTIL,7200,SA@NO 04/24/2021 08:00PM ET,SA,35.46
PG,Lonzo Ball (17225248),Lonzo Ball,17225248,PG/G/UTIL,7100,SA@NO 04/24/2021 08:00PM ET,NO,32.06
PG,Mike Conley (17225251),Mike Conley,17225251,PG/G/UTIL,7000,MIN@UTA 04/24/2021 09:00PM ET,UTA,32.94
PG,Dennis Schroder (17225254),Dennis Schroder,17225254,PG/G/UTIL,6900,LAL@DAL 04/24/2021 08:30PM ET,LAL,30.47
PG/SG,Derrick White (17225257),Derrick White,17225257,PG/SG/G/UTIL,6800,SA@NO 04/24/2021 08:00PM ET,SA,28.42
SF/PF,Kyle Kuzma (17225268),Kyle Kuzma,17225268,SF/PF/F/UTIL,6700,LAL@DAL 04/24/2021 08:30PM ET,LAL,26.06
PG/SG,Victor Oladipo (17225261),Victor Oladipo,17225261,PG/SG/G/UTIL,6700,CHI@MIA 04/24/2021 08:00PM ET,MIA,36.24
PF,Jerami Grant (17225265),Jerami Grant,17225265,PF/F/UTIL,6700,DET@IND 04/24/2021 07:00PM ET,DET,36.31
C,Kelly Olynyk (17225272),Kelly Olynyk,17225272,C/UTIL,6700,HOU@DEN 04/24/2021 10:00PM ET,HOU,27.07
SG/SF,Joe Ingles (17225278),Joe Ingles,17225278,SG/SF/F/G/UTIL,6600,MIN@UTA 04/24/2021 09:00PM ET,UTA,26.08
PG/SG,Kevin Porter Jr. (17225274),Kevin Porter Jr.,17225274,PG/SG/G/UTIL,6600,HOU@DEN 04/24/2021 10:00PM ET,HOU,31.21
PG/SG,Jordan Clarkson (17225283),Jordan Clarkson,17225283,PG/SG/G/UTIL,6500,MIN@UTA 04/24/2021 09:00PM ET,UTA,28.37
C,Isaiah Stewart (17225291),Isaiah Stewart,17225291,C/UTIL,6400,DET@IND 04/24/2021 07:00PM ET,DET,19.90
PG/SG,D'Angelo Russell (17225287),D'Angelo Russell,17225287,PG/SG/G/UTIL,6400,MIN@UTA 04/24/2021 09:00PM ET,MIN,32.83
C,Jakob Poeltl (17225293),Jakob Poeltl,17225293,C/UTIL,6200,SA@NO 04/24/2021 08:00PM ET,SA,25.72
SG,Josh Hart (17225295),Josh Hart,17225295,SG/G/UTIL,6200,SA@NO 04/24/2021 08:00PM ET,NO,25.24
C,Myles Turner (17225301),Myles Turner,17225301,C/UTIL,6100,DET@IND 04/24/2021 07:00PM ET,IND,30.98
SG/SF,Josh Jackson (17225307),Josh Jackson,17225307,SG/SF/F/G/UTIL,6100,DET@IND 04/24/2021 07:00PM ET,DET,24.76
PG,Nickeil Alexander-Walker (17225298),Nickeil Alexander-Walker,17225298,PG/G/UTIL,6100,SA@NO 04/24/2021 08:00PM ET,NO,20.12
