Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56787-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,55.19130540930706,46,11200,CHA@MIL,MIL,CHA,O,Knee,,,,PF
56787-9642,PG,Russell,Russell Westbrook,Westbrook,50.35116506177326,43,11200,WAS@GS,WAS,GS,,,,,,PG
56787-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,48.28125,32,11100,MIN@BOS,MIN,BOS,,,,,,C
56787-55059,C,Clint,Clint Capela,Capela,41.053333875868056,45,10400,CHI@ATL,ATL,CHI,,,,,,C
56787-49111,C,Joel,Joel Embiid,Embiid,52.448486328125,33,10200,PHI@NO,PHI,NO,,,,,,C
56787-55062,C,Nikola,Nikola Jokic,Jokic,54.99422983022836,52,10100,SA@DEN,DEN,SA,,,,,,C
56787-14513,SF,Kawhi,Kawhi Leonard,Leonard,45.43333333333333,45,10000,HOU@LAC,LAC,HOU,,,,,,SF
56787-14514,C,Nikola,Nikola Vucevic,Vucevic,46.24422983022836,52,9900,CHI@ATL,CHI,ATL,,,,,,C
56787-42669,PF,Julius,Julius Randle,Randle,44.13461538461539,52,9600,MEM@NY,NY,MEM,,,,,,PF
56787-9524,PG,Stephen,Stephen Curry,Curry,46.20000110973012,44,9600,WAS@GS,GS,WAS,,,,,,PG
56787-110310,PF,Zion,Zion Williamson,Williamson,41.63191385472074,47,9500,PHI@NO,NO,PHI,,,,,,PF
56787-59358,PF,Domantas,Domantas Sabonis,Sabonis,43.51250203450521,48,9000,IND@ORL,IND,ORL,GTD,Ankle,,,,PF
56787-80808,PF,Jayson,Jayson Tatum,Tatum,42.55957550698138,47,8800,MIN@BOS,BOS,MIN,,,,,,PF
56787-12332,PG,John,John Wall,Wall,37.15757427793561,33,8700,HOU@LAC,HOU,LAC,O,Rest,,,,PG
56787-12341,SG,Paul,Paul George,George,39.55853718083079,41,8700,HOU@LAC,LAC,HOU,O,Rest,,,,SG
56787-9663,PG,Jrue,Jrue Holiday,Holiday,35.42250061035156,40,8500,CHA@MIL,MIL,CHA,O,Knee,,,,PG
56787-15595,SG,Bradley,Bradley Beal,Beal,45.4720941587936,43,8300,WAS@GS,WAS,GS,GTD,Hip,,,,SG
56787-23798,SG,Caris,Caris LeVert,LeVert,33.47692401592548,26,8300,IND@ORL,IND,ORL,,,,,,SG
56787-67026,SF,Jaylen,Jaylen Brown,Brown,38.8469387755102,49,8300,MIN@BOS,BOS,MIN,,,,,,SF
56787-84671,PG,Trae,Trae Young,Young,42.89795918367347,49,8100,CHI@ATL,ATL,CHI,,,,,,PG
56787-66048,SF,Brandon,Brandon Ingram,Ingram,38.43912937330163,46,8000,PHI@NO,NO,PHI,GTD,Toe,,,,SF
56787-66108,PG,Jamal,Jamal Murray,Murray,35.840425531914896,47,8000,SA@DEN,DEN,SA,GTD,Knee,,,,PG
56787-16261,SF,Khris,Khris Middleton,Middleton,36.61199951171875,50,8000,CHA@MIL,MIL,CHA,GTD,Knee,,,,SF
56787-14518,PF,Tobias,Tobias Harris,Harris,38.1282614003057,46,7900,PHI@NO,PHI,NO,,,,,,PF
56787-42202,PF,Christian,Christian Wood,Wood,39.27142769949777,28,7800,HOU@LAC,HOU,LAC,,,,,,PF
56787-66236,PF,John,John Collins,Collins,33.09574468085106,47,7700,CHI@ATL,ATL,CHI,O,Ankle,,,,PF
56787-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.31666782924107,42,7600,SA@DEN,SA,DEN,,,,,,SG
56787-67708,PG,Dejounte,Dejounte Murray,Murray,35.1063829787234,47,7500,SA@DEN,SA,DEN,,,,,,PG
56787-40783,SG,Zach,Zach LaVine,LaVine,40.51,50,7500,CHI@ATL,CHI,ATL,,,,,,SG
56787-80806,PG,Lonzo,Lonzo Ball,Ball,31.834145150533537,41,7500,PHI@NO,NO,PHI,GTD,Hip,,,,PG
56787-145321,SF,Anthony,Anthony Edwards,Edwards,29.286538931039665,52,7500,MIN@BOS,MIN,BOS,,,,,,SF
56787-15860,PF,Draymond,Draymond Green,Green,30.758138967114824,43,7500,WAS@GS,GS,WAS,,,,,,PF
56787-66115,PG,Ben,Ben Simmons,Simmons,38.39999886446221,43,7400,PHI@NO,PHI,NO,,,,,,PG
56787-42677,PG,Terry,Terry Rozier,Rozier,33.322916666666664,48,7300,CHA@MIL,CHA,MIL,,,,,,PG
56787-84682,SF,Michael,Michael Porter,Porter,31.102437833460368,41,7300,SA@DEN,DEN,SA,,,,,,SF
56787-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,23.444444444444443,27,7300,CHI@ATL,ATL,CHI,,,,,,SF
56787-49116,SG,Andrew,Andrew Wiggins,Wiggins,30.92745193780637,51,7300,WAS@GS,GS,WAS,,,,,,SG
56787-14503,C,Jonas,Jonas Valanciunas,Valanciunas,35.725000554865055,44,7200,MEM@NY,MEM,NY,,,,,,C
56787-12366,SF,Gordon,Gordon Hayward,Hayward,35.25227217240767,44,7000,CHA@MIL,CHA,MIL,O,Foot,,,,SF
56787-110344,PG,Ja,Ja Morant,Morant,34.20975550209604,41,7000,MEM@NY,MEM,NY,,,,,,PG
56787-41594,PF,Aaron,Aaron Gordon,Gordon,29.667742329259074,31,6900,SA@DEN,DEN,SA,,,,,,PF
56787-23716,SF,Kyle,Kyle Anderson,Anderson,29.317021796043882,47,6900,MEM@NY,MEM,NY,,,,,,SF
56787-84676,C,Wendell,Wendell Carter,Carter,26.926316110711348,38,6800,IND@ORL,ORL,IND,,,,,,C
56787-84708,C,Robert,Robert Williams,Williams,25.897727272727273,44,6800,MIN@BOS,BOS,MIN,,,,,,C
56787-16405,SG,Terrence,Terrence Ross,Ross,26.953657941120426,41,6700,IND@ORL,ORL,IND,,,,,,SG
56787-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,37.31363747336648,44,6700,IND@ORL,IND,ORL,GTD,Hip,,,,PG
56787-58378,C,Jakob,Jakob Poeltl,Poeltl,25.687754105548468,49,6600,SA@DEN,SA,DEN,,,,,,C
56787-84706,SG,Devonte',Devonte' Graham,Graham,26.792498779296874,40,6600,CHA@MIL,CHA,MIL,,,,,,SG
56787-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,19.9682929806593,41,6500,PHI@NO,NO,PHI,O,Ankle,,,,SG
56787-9666,PF,Thaddeus,Thaddeus Young,Young,30.365218452785324,46,6500,CHI@ATL,CHI,ATL,,,,,,PF
56787-23670,SG,Marcus,Marcus Smart,Smart,29.169696229876894,33,6400,MIN@BOS,BOS,MIN,,,,,,SG
56787-110336,PF,Chuma,Chuma Okeke,Okeke,17.865713936941965,35,6400,IND@ORL,ORL,IND,,,,,,PF
56787-110345,SF,Kevin,Kevin Porter,Porter,29.228572300502233,14,6400,HOU@LAC,HOU,LAC,,,,,,SF
56787-58153,SF,Kelly,Kelly Oubre,Oubre,28.687754105548468,49,6400,WAS@GS,GS,WAS,,,,,,SF
56787-58253,C,Myles,Myles Turner,Turner,33.41304347826087,46,6400,IND@ORL,IND,ORL,O,Ankle,,,,C
56787-14507,PG,Kemba,Kemba Walker,Walker,31.353124618530273,32,6300,MIN@BOS,BOS,MIN,,,,,,PG
56787-58312,SG,D'Angelo,D'Angelo Russell,Russell,32.04999889026988,22,6300,MIN@BOS,MIN,BOS,,,,,,SG
56787-23096,SG,Evan,Evan Fournier,Fournier,29.413334147135416,30,6200,MIN@BOS,BOS,MIN,O,Covid-19,,,,SG
56787-110357,SF,RJ,RJ Barrett,Barrett,29.946152907151443,52,6200,MEM@NY,NY,MEM,,,,,,SF
56787-18393,PG,T.J.,T.J. McConnell,McConnell,26.52127659574468,47,6100,IND@ORL,IND,ORL,,,,,,PG
56787-22541,C,Kelly,Kelly Olynyk,Olynyk,25.4,50,6000,HOU@LAC,HOU,LAC,,,,,,C
56787-14496,PG,Ricky,Ricky Rubio,Rubio,25.0124994913737,48,6000,MIN@BOS,MIN,BOS,,,,,,PG
56787-9966,PF,James,James Johnson,Johnson,17.91470516429228,34,5900,PHI@NO,NO,PHI,,,,,,PF
56787-110352,PF,P.J.,P.J. Washington,Washington,28.00217338230299,46,5900,CHA@MIL,CHA,MIL,,,,,,PF
56787-17333,SG,Will,Will Barton,Barton,25.120834350585938,48,5900,SA@DEN,DEN,SA,,,,,,SG
56787-12355,SG,Eric,Eric Bledsoe,Bledsoe,23.33,50,5800,PHI@NO,NO,PHI,,,,,,SG
56787-42156,PF,Bobby,Bobby Portis,Portis,24.05531862948803,47,5800,CHA@MIL,MIL,CHA,,,,,,PF
56787-84678,PF,Miles,Miles Bridges,Bridges,22.3839990234375,50,5800,CHA@MIL,CHA,MIL,,,,,,PF
56787-110349,SF,Rui,Rui Hachimura,Hachimura,24.926829268292682,41,5800,WAS@GS,WAS,GS,,,,,,SF
