Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57586-84669,PG,Luka,Luka Doncic,Doncic,51.3094321196934,53,11400,LAL@DAL,DAL,LAL,,,,,,PG
57586-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,54.46122648278061,49,11000,PHI@MIL,MIL,PHI,GTD,Leg,,,,PF
57586-49111,C,Joel,Joel Embiid,Embiid,52.53499755859375,40,10700,PHI@MIL,PHI,MIL,,,,,,C
57586-9488,SF,LeBron,LeBron James,James,47.083333333333336,42,10000,LAL@DAL,LAL,DAL,O,Ankle,,,,SF
57586-110310,PF,Zion,Zion Williamson,Williamson,42.62407316984954,54,9800,NO@ORL,NO,ORL,,,,,,PF
57586-15755,PF,Anthony,Anthony Davis,Davis,44.54782502547555,23,9600,LAL@DAL,LAL,DAL,GTD,Calf,,,,PF
57586-80808,PF,Jayson,Jayson Tatum,Tatum,43.38113115418632,53,9500,PHO@BOS,BOS,PHO,GTD,Ankle,,,,PF
57586-40783,SG,Zach,Zach LaVine,LaVine,41.329630533854164,54,9100,CHA@CHI,CHI,CHA,O,Covid-19,,,,SG
57586-14514,C,Nikola,Nikola Vucevic,Vucevic,45.76499837239583,60,8800,CHA@CHI,CHI,CHA,,,,,,C
57586-58460,SG,Devin,Devin Booker,Booker,37.592592592592595,54,8600,PHO@BOS,PHO,BOS,,,,,,SG
57586-66048,SF,Brandon,Brandon Ingram,Ingram,39.026413251768865,53,8400,NO@ORL,NO,ORL,,,,,,SF
57586-63122,PF,Kristaps,Kristaps Porzingis,Porzingis,38.723684210526315,38,8300,LAL@DAL,DAL,LAL,,,,,,PF
57586-9623,PG,Chris,Chris Paul,Paul,37.56896551724138,58,8300,PHO@BOS,PHO,BOS,,,,,,PG
57586-67026,SF,Jaylen,Jaylen Brown,Brown,38.9537037037037,54,8100,PHO@BOS,BOS,PHO,GTD,Shoulder,,,,SF
57586-9663,PG,Jrue,Jrue Holiday,Holiday,35.7022216796875,45,8000,PHI@MIL,MIL,PHI,,,,,,PG
57586-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.53061224489796,49,7900,DET@SA,SA,DET,,,,,,SG
57586-42677,PG,Terry,Terry Rozier,Rozier,34.692593044704864,54,7800,CHA@CHI,CHA,CHI,,,,,,PG
57586-16261,SF,Khris,Khris Middleton,Middleton,37.07272727272727,55,7800,PHI@MIL,MIL,PHI,,,,,,SF
57586-14518,PF,Tobias,Tobias Harris,Harris,38.06326480787627,49,7500,PHI@MIL,PHI,MIL,GTD,Knee,,,,PF
57586-84673,C,Deandre,Deandre Ayton,Ayton,33.37413708917026,58,7500,PHO@BOS,PHO,BOS,,,,,,C
57586-66115,PG,Ben,Ben Simmons,Simmons,38.10208384195963,48,7400,PHI@MIL,PHI,MIL,GTD,Illness,,,,PG
57586-67708,PG,Dejounte,Dejounte Murray,Murray,34.95454545454545,55,7200,DET@SA,SA,DET,,,,,,PG
57586-12366,SF,Gordon,Gordon Hayward,Hayward,35.25227217240767,44,7000,CHA@CHI,CHA,CHI,O,Foot,,,,SF
57586-23831,PF,Jerami,Jerami Grant,Grant,35.631371591605394,51,7000,DET@SA,DET,SA,,,,,,PF
57586-23670,SG,Marcus,Marcus Smart,Smart,30.0105269582648,38,6900,PHO@BOS,BOS,PHO,,,,,,SG
57586-14507,PG,Kemba,Kemba Walker,Walker,32.116217535895274,37,6900,PHO@BOS,BOS,PHO,GTD,Illness,,,,PG
57586-15557,C,Andre,Andre Drummond,Drummond,39.509376525878906,32,6900,LAL@DAL,LAL,DAL,GTD,Toe,,,,C
57586-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,19.9682929806593,41,6800,NO@ORL,NO,ORL,O,Ankle,,,,SG
57586-80806,PG,Lonzo,Lonzo Ball,Ball,31.30227383700284,44,6800,NO@ORL,NO,ORL,,,,,,PG
57586-84676,C,Wendell,Wendell Carter,Carter,27.8,45,6600,NO@ORL,ORL,NO,,,,,,C
