Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,22,18,14,18,18
BOS,24,15,4,3,23
BRO,19,1,12,23,30
CHA,6,13,28,21,3
CHI,17,14,11,20,26
CLE,16,28,6,29,21
DAL,8,4,2,15,11
DEN,12,17,20,28,2
DET,10,20,8,30,14
GSW,9,12,17,22,10
HOU,23,30,18,6,22
IND,14,9,21,27,25
LAC,15,19,3,4,4
LAL,4,7,13,16,9
MEM,7,21,15,26,28
MIA,3,11,10,11,7
MIL,13,8,22,17,17
MIN,28,26,26,24,16
NOP,26,22,29,8,13
NYK,1,6,1,5,6
OKL,25,24,30,25,24
ORL,29,27,27,14,8
PHI,5,10,19,12,1
PHX,2,2,7,7,12
POR,18,25,16,9,20
SAC,27,29,24,19,15
SAS,21,3,9,2,19
TOR,20,16,23,13,5
UTA,11,5,5,1,29
WAS,30,23,25,10,27
