team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,45,99,15,36,15,17,11,28,21,12,5,8,18
BROOKLYN NETS,240,45,79,13,31,21,26,6,38,25,6,4,16,17
BOSTON CELTICS,240,39,84,13,34,20,27,12,39,16,3,4,15,20
GOLDEN STATE WARRIORS,240,38,83,15,37,16,23,6,30,30,9,4,11,23
MEMPHIS GRIZZLIES,240,42,93,9,25,23,24,10,26,27,11,7,16,22
INDIANA PACERS,240,49,82,16,29,20,29,9,33,30,8,8,18,19
TORONTO RAPTORS,240,40,83,20,45,23,25,6,34,32,14,4,11,18
ORLANDO MAGIC,240,41,89,14,38,12,14,9,37,24,4,4,16,22
DETROIT PISTONS,240,39,93,9,27,18,20,12,34,18,7,5,15,21
UTAH JAZZ,240,38,82,16,42,25,29,8,36,23,9,6,13,17
PORTLAND TRAIL BLAZERS,240,44,95,21,46,23,23,14,30,19,6,1,9,19
WASHINGTON WIZARDS,240,46,83,16,40,13,17,6,33,32,2,5,13,21
