iter	Passed	Remaining
0	2295	2293485
1	2305	1150354
2	2440	811121
3	2450	610137
4	2460	489612
5	2506	415294
6	2516	356958
7	2525	313141
8	2534	279104
9	2548	252326
10	2558	230007
11	2567	211385
12	2580	195912
13	2596	182837
14	2677	175813
15	2726	167705
16	2737	158264
17	2777	151554
18	2787	143916
19	2797	137081
20	2807	130899
21	2817	125271
22	2827	120118
23	2837	115406
24	2847	111056
25	2857	107042
26	2867	103328
27	2877	99893
28	2887	96672
29	2897	93698
30	2907	90890
31	2918	88280
32	2928	85824
33	2938	83486
34	2948	81299
35	2958	79218
36	2968	77266
37	2978	75412
38	2988	73651
39	2998	71970
40	3008	70362
41	3017	68827
42	3027	67369
43	3036	65966
44	3045	64633
45	3054	63355
46	3086	62583
47	3095	61396
48	3104	60255
49	3113	59158
50	3122	58103
51	3131	57096
52	3140	56120
53	3149	55177
54	3158	54274
55	3167	53397
56	3176	52558
57	3185	51744
58	3195	50958
59	3204	50199
60	3213	49463
61	3222	48754
62	3232	48072
63	3241	47400
64	3250	46751
65	3259	46122
66	3275	45607
67	3286	45041
68	3298	44499
69	3307	43947
70	3320	43449
71	3333	42962
72	3342	42445
73	3351	41935
74	3360	41444
75	3369	40963
76	3378	40493
77	3388	40051
78	3402	39665
79	3411	39230
80	3420	38810
81	3429	38398
82	3439	37997
83	3448	37603
84	3473	37388
85	3489	37088
86	3503	36765
87	3513	36407
88	3522	36054
89	3531	35711
90	3540	35370
91	3550	35043
92	3560	34724
93	3570	34409
94	3625	34535
95	3636	34241
96	3647	33951
97	3656	33655
98	3665	33361
99	3675	33077
100	3685	32801
101	3694	32530
102	3703	32256
103	3713	31997
104	3723	31737
105	3733	31490
106	3743	31243
107	3755	31015
108	3764	30773
109	3774	30539
110	3784	30310
111	3793	30077
112	3802	29851
113	3812	29631
114	3822	29418
115	3832	29205
116	3842	28997
117	3852	28793
118	3861	28587
119	3870	28383
120	3879	28184
121	3889	27994
122	3900	27808
123	3909	27620
124	3919	27435
125	3929	27253
126	3939	27077
127	3949	26903
128	3958	26725
129	3967	26551
130	3976	26376
131	3985	26204
132	3994	26039
133	4003	25872
134	4012	25710
135	4021	25548
136	4030	25392
137	4039	25234
138	4092	25347
139	4102	25200
140	4112	25057
141	4124	24920
142	4133	24773
143	4142	24624
144	4151	24478
145	4160	24333
146	4170	24202
147	4179	24062
148	4188	23923
149	4197	23788
150	4207	23654
151	4216	23524
152	4227	23401
153	4235	23270
154	4245	23142
155	4253	23014
156	4262	22889
157	4317	23007
158	4325	22880
159	4335	22760
160	4350	22671
161	4361	22558
162	4369	22439
163	4379	22322
164	4388	22207
165	4397	22091
166	4406	21979
167	4415	21866
168	4424	21754
169	4432	21643
170	4442	21537
171	4451	21430
172	4461	21329
173	4470	21224
174	4480	21121
175	4489	21018
176	4498	20918
177	4508	20820
178	4517	20721
179	4526	20620
180	4539	20538
181	4548	20443
182	4558	20350
183	4571	20272
184	4581	20181
185	4591	20093
186	4601	20007
187	4613	19926
188	4624	19842
189	4633	19754
190	4644	19671
191	4654	19586
192	4663	19501
193	4673	19417
194	4683	19333
195	4693	19252
196	4704	19175
197	4714	19094
198	4724	19015
199	4733	18935
200	4743	18856
201	4753	18778
202	4763	18702
203	4773	18625
204	4786	18560
205	4795	18482
206	4804	18405
207	4813	18329
208	4823	18255
209	4832	18178
210	4842	18106
211	4851	18034
212	4861	17961
213	4871	17893
214	4881	17822
215	4890	17752
216	4901	17684
217	4911	17617
218	4920	17546
219	4929	17476
220	4939	17411
221	4948	17341
222	4957	17271
223	4966	17204
224	4974	17135
225	4983	17069
226	4992	17001
227	5001	16935
228	5010	16870
229	5019	16805
230	5028	16739
231	5037	16675
232	5046	16612
233	5055	16548
234	5064	16487
235	5073	16424
236	5082	16362
237	5091	16301
238	5100	16240
239	5109	16180
240	5119	16122
241	5129	16065
242	5138	16006
243	5147	15949
244	5156	15890
245	5165	15832
246	5174	15773
247	5183	15717
248	5192	15660
249	5201	15604
250	5210	15547
251	5219	15493
252	5229	15439
253	5238	15385
254	5247	15330
255	5257	15278
256	5266	15225
257	5275	15171
258	5284	15119
259	5293	15067
260	5305	15020
261	5318	14980
262	5330	14937
263	5342	14894
264	5351	14841
265	5362	14796
266	5376	14760
267	5386	14711
268	5395	14662
269	5404	14613
270	5413	14562
271	5422	14512
272	5431	14463
273	5441	14417
274	5451	14370
275	5460	14324
276	5469	14275
277	5558	14437
278	5568	14389
279	5577	14343
280	5587	14297
281	5597	14252
282	5608	14208
283	5617	14163
284	5627	14118
285	5637	14074
286	5646	14028
287	5656	13984
288	5666	13940
289	5675	13895
290	5687	13858
291	5697	13815
292	5706	13770
293	5716	13728
294	5726	13684
295	5737	13645
296	5747	13603
297	5756	13559
298	5766	13519
299	5776	13477
300	5785	13434
301	5794	13392
302	5809	13363
303	5826	13338
304	5837	13300
305	5852	13272
306	5869	13249
307	5882	13215
308	5893	13179
309	5905	13143
310	5915	13104
311	5925	13066
312	5934	13025
313	5943	12984
314	5952	12944
315	5962	12905
316	5970	12864
317	5980	12825
318	5989	12785
319	5998	12746
320	6008	12708
321	6017	12670
322	6026	12630
323	6034	12590
324	6044	12553
325	6053	12515
326	6062	12478
327	6072	12441
328	6081	12403
329	6091	12368
330	6100	12330
331	6109	12293
332	6118	12256
333	6128	12219
334	6137	12183
335	6147	12149
336	6156	12112
337	6165	12075
338	6174	12039
339	6183	12003
340	6192	11966
341	6201	11932
342	6210	11896
343	6220	11861
344	6229	11826
345	6238	11791
346	6247	11756
347	6256	11721
348	6264	11685
349	6273	11651
350	6282	11615
351	6291	11582
352	6301	11549
353	6309	11514
354	6319	11481
355	6328	11448
356	6338	11415
357	6346	11381
358	6355	11348
359	6365	11316
360	6379	11292
361	6393	11267
362	6402	11235
363	6418	11214
364	6427	11181
365	6439	11154
366	6453	11131
367	6464	11102
368	6474	11072
369	6484	11040
370	6494	11010
371	6505	10982
372	6515	10952
373	6524	10921
374	6536	10894
375	6547	10866
376	6556	10835
377	6566	10804
378	6575	10773
379	6584	10742
380	6594	10713
381	6603	10682
382	6612	10651
383	6622	10623
384	6631	10593
385	6640	10563
386	6650	10534
387	6660	10505
388	6670	10477
389	6680	10448
390	6690	10420
391	6700	10392
392	6710	10364
393	6720	10336
394	6730	10308
395	6740	10281
396	6750	10253
397	6761	10226
398	6770	10198
399	6780	10170
400	6790	10143
401	6799	10114
402	6809	10086
403	6818	10058
404	6827	10030
405	6836	10002
406	6846	9976
407	6855	9947
408	6865	9920
409	6875	9894
410	6884	9866
411	6893	9838
412	6902	9811
413	6912	9783
414	6921	9756
415	6930	9728
416	6939	9701
417	6948	9674
418	6957	9647
419	6965	9619
420	6975	9593
421	6984	9566
422	6993	9539
423	7002	9512
424	7011	9486
425	7021	9460
426	7030	9434
427	7042	9411
428	7051	9386
429	7060	9359
430	7069	9333
431	7080	9309
432	7105	9305
433	7115	9279
434	7124	9253
435	7134	9228
436	7143	9202
437	7152	9176
438	7160	9150
439	7169	9124
440	7178	9099
441	7187	9073
442	7196	9048
443	7205	9023
444	7214	8997
445	7223	8972
446	7232	8947
447	7241	8922
448	7249	8896
449	7258	8871
450	7271	8851
451	7280	8827
452	7289	8802
453	7298	8778
454	7308	8754
455	7317	8729
456	7326	8704
457	7336	8682
458	7348	8661
459	7357	8637
460	7366	8613
461	7376	8590
462	7386	8566
463	7396	8544
464	7406	8520
465	7419	8502
466	7435	8486
467	7444	8463
468	7459	8445
469	7471	8424
470	7482	8404
471	7492	8380
472	7503	8360
473	7514	8338
474	7523	8315
475	7533	8293
476	7543	8270
477	7553	8248
478	7563	8226
479	7572	8204
480	7582	8181
481	7594	8162
482	7604	8139
483	7613	8117
484	7623	8095
485	7633	8073
486	7642	8050
487	7652	8028
488	7661	8006
489	7672	7985
490	7681	7962
491	7690	7940
492	7699	7918
493	7709	7897
494	7719	7875
495	7728	7852
496	7738	7832
497	7747	7809
498	7756	7787
499	7766	7766
500	7776	7745
501	7786	7724
