slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,LOSS,1934,16,25,0,0,2,2,12,10,2,0,2,1,2,35.3
leverca01,Caris LeVert,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,2083,14,20,2,6,4,4,2,3,3,1,3,1,1,31.7
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,CLEVELAND CAVALIERS,WIN,2186,16,22,0,0,6,8,2,7,4,0,2,4,3,30.7
brogdma01,Malcolm Brogdon,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,2320,10,21,5,9,4,6,3,6,11,1,0,0,2,29.3
georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2196,12,25,1,5,7,7,2,1,9,1,0,2,1,25.9
bogdabo01,Bogdan Bogdanović,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,2432,9,22,8,16,6,7,2,1,3,2,0,0,0,25.6
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,2208,8,15,3,7,8,8,2,10,8,0,2,4,4,25.5
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,2089,13,25,0,1,7,8,1,4,8,0,0,2,1,25.4
porzikr01,Kristaps Porziņģis,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,2157,12,21,3,8,4,4,3,12,3,0,2,3,6,24.9
murrade01,Dejounte Murray,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,2008,11,17,2,4,1,1,0,5,5,4,0,1,2,24.7
morrima03,Marcus Morris,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2160,13,18,6,8,1,2,0,6,0,1,0,2,4,24.4
josepco01,Cory Joseph,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1897,8,14,1,3,1,1,1,4,13,2,0,1,3,22.2
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,1536,9,13,3,6,6,6,0,2,4,0,0,2,2,22.1
beysa01,Saddiq Bey,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1878,8,12,5,8,4,4,0,1,2,4,0,3,2,21.7
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,2120,10,17,2,8,7,8,0,3,7,1,0,5,2,21.7
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,1779,7,13,1,4,3,3,4,11,9,1,0,2,5,21.1
wadede01,Dean Wade,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,LOSS,1898,8,12,5,8,0,0,1,5,2,3,0,1,1,21.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1716,8,13,2,4,3,4,2,6,5,1,1,2,1,20.7
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2140,13,28,4,12,0,1,0,7,6,0,1,1,2,20.4
jacksjo02,Josh Jackson,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1744,10,18,2,6,4,5,1,3,3,0,2,0,5,20.1
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,CLEVELAND CAVALIERS,WIN,2140,8,18,3,6,8,8,1,3,8,1,0,5,2,20.0
