Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (17074621),Giannis Antetokounmpo,17074621,PF/C/F/UTIL,10800,MIL@ATL 04/15/2021 07:30PM ET,MIL,57.37
PG,Stephen Curry (17074625),Stephen Curry,17074625,PG/G/UTIL,10600,GS@CLE 04/15/2021 08:00PM ET,GS,50.44
PG,De'Aaron Fox (17074628),De'Aaron Fox,17074628,PG/G/UTIL,9700,SAC@PHO 04/15/2021 10:00PM ET,SAC,43.78
PG,LeBron James (17074631),LeBron James,17074631,PG/G/UTIL,9600,BOS@LAL 04/15/2021 10:00PM ET,LAL,50.71
PF,Jayson Tatum (17074634),Jayson Tatum,17074634,PF/F/UTIL,9400,BOS@LAL 04/15/2021 10:00PM ET,BOS,44.91
PG,Trae Young (17074637),Trae Young,17074637,PG/G/UTIL,9100,MIL@ATL 04/15/2021 07:30PM ET,ATL,46.42
C,Anthony Davis (17074640),Anthony Davis,17074640,C/UTIL,9000,BOS@LAL 04/15/2021 10:00PM ET,LAL,43.75
C,Clint Capela (17074642),Clint Capela,17074642,C/UTIL,8900,MIL@ATL 04/15/2021 07:30PM ET,ATL,40.80
SG,Devin Booker (17074644),Devin Booker,17074644,SG/G/UTIL,8700,SAC@PHO 04/15/2021 10:00PM ET,PHO,39.43
PG/SG,Jrue Holiday (17074647),Jrue Holiday,17074647,PG/SG/G/UTIL,8400,MIL@ATL 04/15/2021 07:30PM ET,MIL,35.35
SG/SF,Khris Middleton (17074651),Khris Middleton,17074651,SG/SF/F/G/UTIL,8300,MIL@ATL 04/15/2021 07:30PM ET,MIL,38.65
SG/SF,Jaylen Brown (17074656),Jaylen Brown,17074656,SG/SF/F/G/UTIL,8100,BOS@LAL 04/15/2021 10:00PM ET,BOS,40.42
PG,Chris Paul (17074661),Chris Paul,17074661,PG/G/UTIL,7900,SAC@PHO 04/15/2021 10:00PM ET,PHO,38.10
C,Jarrett Allen (17074664),Jarrett Allen,17074664,C/UTIL,7700,GS@CLE 04/15/2021 08:00PM ET,CLE,32.17
PG/SG,Collin Sexton (17074666),Collin Sexton,17074666,PG/SG/G/UTIL,7500,GS@CLE 04/15/2021 08:00PM ET,CLE,35.86
SG,Bogdan Bogdanovic (17074670),Bogdan Bogdanovic,17074670,SG/G/UTIL,7200,MIL@ATL 04/15/2021 07:30PM ET,ATL,25.45
PF/C,Draymond Green (17074673),Draymond Green,17074673,PF/C/F/UTIL,7100,GS@CLE 04/15/2021 08:00PM ET,GS,31.87
PF/C,Richaun Holmes (17074677),Richaun Holmes,17074677,PF/C/F/UTIL,7000,SAC@PHO 04/15/2021 10:00PM ET,SAC,32.46
SG/SF,Andrew Wiggins (17074681),Andrew Wiggins,17074681,SG/SF/F/G/UTIL,6900,GS@CLE 04/15/2021 08:00PM ET,GS,31.28
PF/C,Larry Nance Jr. (17074686),Larry Nance Jr.,17074686,PF/C/F/UTIL,6900,GS@CLE 04/15/2021 08:00PM ET,CLE,28.08
C,Andre Drummond (17074690),Andre Drummond,17074690,C/UTIL,6900,BOS@LAL 04/15/2021 10:00PM ET,LAL,40.22
PF/C,Bobby Portis (17074695),Bobby Portis,17074695,PF/C/F/UTIL,6800,MIL@ATL 04/15/2021 07:30PM ET,MIL,24.94
PG,Kemba Walker (17074692),Kemba Walker,17074692,PG/G/UTIL,6800,BOS@LAL 04/15/2021 10:00PM ET,BOS,33.23
C,Deandre Ayton (17074699),Deandre Ayton,17074699,C/UTIL,6700,SAC@PHO 04/15/2021 10:00PM ET,PHO,33.97
PG,Darius Garland (17074701),Darius Garland,17074701,PG/G/UTIL,6600,GS@CLE 04/15/2021 08:00PM ET,CLE,30.83
SF/PF,Kyle Kuzma (17074704),Kyle Kuzma,17074704,SF/PF/F/UTIL,6500,BOS@LAL 04/15/2021 10:00PM ET,LAL,26.07
PG/SG,Tyrese Haliburton (17074708),Tyrese Haliburton,17074708,PG/SG/G/UTIL,6400,SAC@PHO 04/15/2021 10:00PM ET,SAC,28.57
PF/C,John Collins (17074712),John Collins,17074712,PF/C/F/UTIL,6300,MIL@ATL 04/15/2021 07:30PM ET,ATL,33.60
PG,Dennis Schroder (17074716),Dennis Schroder,17074716,PG/G/UTIL,6300,BOS@LAL 04/15/2021 10:00PM ET,LAL,29.78
SF/PF,Harrison Barnes (17074719),Harrison Barnes,17074719,SF/PF/F/UTIL,6300,SAC@PHO 04/15/2021 10:00PM ET,SAC,31.35
PF/C,Kevin Love (17074723),Kevin Love,17074723,PF/C/F/UTIL,6200,GS@CLE 04/15/2021 08:00PM ET,CLE,24.48
PG/SG,Marcus Smart (17074727),Marcus Smart,17074727,PG/SG/G/UTIL,6100,BOS@LAL 04/15/2021 10:00PM ET,BOS,29.88
SG/SF,Buddy Hield (17074731),Buddy Hield,17074731,SG/SF/F/G/UTIL,6100,SAC@PHO 04/15/2021 10:00PM ET,SAC,30.52
SF/PF,Kelly Oubre Jr. (17074736),Kelly Oubre Jr.,17074736,SF/PF/F/UTIL,6000,GS@CLE 04/15/2021 08:00PM ET,GS,28.92
PG/SG,Donte DiVincenzo (17074740),Donte DiVincenzo,17074740,PG/SG/G/UTIL,5900,MIL@ATL 04/15/2021 07:30PM ET,MIL,25.37
C,Robert Williams (17074744),Robert Williams,17074744,C/UTIL,5800,BOS@LAL 04/15/2021 10:00PM ET,BOS,24.41
C,Isaiah Hartenstein (17074746),Isaiah Hartenstein,17074746,C/UTIL,5500,GS@CLE 04/15/2021 08:00PM ET,CLE,13.59
PF,Danilo Gallinari (17074748),Danilo Gallinari,17074748,PF/F/UTIL,5400,MIL@ATL 04/15/2021 07:30PM ET,ATL,22.70
SG/SF,Evan Fournier (17074751),Evan Fournier,17074751,SG/SF/F/G/UTIL,5400,BOS@LAL 04/15/2021 10:00PM ET,BOS,30.45
