Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56827-9642,PG,Russell,Russell Westbrook,Westbrook,50.42954323508523,44,11300,WAS@PHO,WAS,PHO,,,,,,PG
56827-9644,SG,James,James Harden,Harden,52.14186273619186,43,11200,LAL@BKN,BKN,LAL,O,Hamstring,,,,SG
56827-14498,PG,Kyrie,Kyrie Irving,Irving,46.31578947368421,38,10200,LAL@BKN,BKN,LAL,,,,,,PG
56827-49111,C,Joel,Joel Embiid,Embiid,51.767646340762866,34,10100,PHI@OKC,PHI,OKC,GTD,Knee,,,,C
56827-9524,PG,Stephen,Stephen Curry,Curry,46.3,45,10000,HOU@GS,GS,HOU,,,,,,PG
56827-9488,SF,LeBron,LeBron James,James,47.083333333333336,42,9900,LAL@BKN,LAL,BKN,O,Ankle,,,,SF
56827-80810,PG,De'Aaron,De'Aaron Fox,Fox,41.95686370251226,51,9400,SAC@UTA,SAC,UTA,,,,,,PG
56827-9646,SF,Kevin,Kevin Durant,Durant,47.61000061035156,20,9300,LAL@BKN,BKN,LAL,,,,,,SF
56827-58460,SG,Devin,Devin Booker,Booker,37.70000051944814,47,9200,WAS@PHO,PHO,WAS,,,,,,SG
56827-20848,PG,Damian,Damian Lillard,Lillard,45.8039990234375,50,9000,DET@POR,POR,DET,,,,,,PG
56827-15755,PF,Anthony,Anthony Davis,Davis,44.54782502547555,23,9000,LAL@BKN,LAL,BKN,O,Calf,,,,PF
56827-60021,PF,Pascal,Pascal Siakam,Siakam,39.60000113553779,43,8900,TOR@CLE,TOR,CLE,,,,,,PF
56827-9623,PG,Chris,Chris Paul,Paul,37.64901912913603,51,8800,WAS@PHO,PHO,WAS,,,,,,PG
56827-12332,PG,John,John Wall,Wall,37.15757427793561,33,8700,HOU@GS,HOU,GS,,,,,,PG
56827-40203,C,Rudy,Rudy Gobert,Gobert,40.805659456073116,53,8600,SAC@UTA,UTA,SAC,,,,,,C
56827-66113,SG,Donovan,Donovan Mitchell,Mitchell,40.16,50,8500,SAC@UTA,UTA,SAC,,,,,,SG
56827-15595,SG,Bradley,Bradley Beal,Beal,45.043182373046875,44,8200,WAS@PHO,WAS,PHO,GTD,Back,,,,SG
56827-19067,SG,CJ,CJ McCollum,McCollum,38.834615854116585,26,8100,DET@POR,POR,DET,,,,,,SG
56827-84673,C,Deandre,Deandre Ayton,Ayton,33.12549067478554,51,7900,WAS@PHO,PHO,WAS,,,,,,C
56827-42202,PF,Christian,Christian Wood,Wood,39.248274178340516,29,7800,HOU@GS,HOU,GS,,,,,,PF
56827-14518,PF,Tobias,Tobias Harris,Harris,38.123405294215424,47,7700,PHI@OKC,PHI,OKC,,,,,,PF
56827-68090,SF,OG,OG Anunoby,Anunoby,29.955882352941178,34,7700,TOR@CLE,TOR,CLE,,,,,,SF
56827-15860,PF,Draymond,Draymond Green,Green,30.8545448996804,44,7600,HOU@GS,GS,HOU,,,,,,PF
56827-20992,PF,Larry,Larry Nance,Nance,28.879310344827587,29,7400,TOR@CLE,CLE,TOR,O,Illness,,,,PF
56827-66115,PG,Ben,Ben Simmons,Simmons,38.47727272727273,44,7400,PHI@OKC,PHI,OKC,,,,,,PG
56827-24247,SG,Fred,Fred VanVleet,VanVleet,39.6181807084517,44,7400,TOR@CLE,TOR,CLE,O,Hip,,,,SG
56827-84667,SG,Collin,Collin Sexton,Sexton,34.8340897993608,44,7400,TOR@CLE,CLE,TOR,,,,,,SG
56827-49116,SG,Andrew,Andrew Wiggins,Wiggins,31.12884521484375,52,7300,HOU@GS,GS,HOU,,,,,,SG
56827-58377,SF,Kyle,Kyle Kuzma,Kuzma,24.42199951171875,50,7000,LAL@BKN,LAL,BKN,GTD,Calf,,,,SF
56827-84680,SG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,39.53428431919643,35,7000,PHI@OKC,OKC,PHI,O,Foot,,,,SG
56827-40201,PG,Dennis,Dennis Schroder,Schroder,28.90625,48,7000,LAL@BKN,LAL,BKN,,,,,,PG
56827-23831,PF,Jerami,Jerami Grant,Grant,35.958333333333336,48,7000,DET@POR,DET,POR,GTD,Knee,,,,PF
56827-80821,C,Jarrett,Jarrett Allen,Allen,32.41363525390625,44,7000,TOR@CLE,CLE,TOR,O,Concussion,,,,C
56827-9575,PG,Mike,Mike Conley,Conley,30.572092455486917,43,6800,SAC@UTA,UTA,SAC,,,,,,PG
56827-16293,SF,Norman,Norman Powell,Powell,28.112244897959183,49,6700,DET@POR,POR,DET,,,,,,SF
56827-23776,C,Montrezl,Montrezl Harrell,Harrell,27.625,52,6600,LAL@BKN,LAL,BKN,,,,,,C
56827-110342,PG,Darius,Darius Garland,Garland,29.107142857142858,42,6600,TOR@CLE,CLE,TOR,,,,,,PG
56827-110345,SF,Kevin,Kevin Porter,Porter,29.793332926432292,15,6600,HOU@GS,HOU,GS,,,,,,SF
56827-58153,SF,Kelly,Kelly Oubre,Oubre,28.81800048828125,50,6600,HOU@GS,GS,HOU,,,,,,SF
56827-23572,SF,Taurean,Taurean Prince,Prince,18.92941104664522,34,6500,TOR@CLE,CLE,TOR,,,,,,SF
56827-68203,C,Chris,Chris Boucher,Boucher,29.846153846153847,52,6500,TOR@CLE,TOR,CLE,,,,,,C
56827-23447,C,Richaun,Richaun Holmes,Holmes,33.43958282470703,48,6500,SAC@UTA,SAC,UTA,,,,,,C
56827-22541,C,Kelly,Kelly Olynyk,Olynyk,25.44509708180147,51,6400,HOU@GS,HOU,GS,,,,,,C
56827-15946,PF,Harrison,Harrison Barnes,Barnes,30.395918865593114,49,6300,SAC@UTA,SAC,UTA,,,,,,PF
56827-84695,SG,Gary,Gary Trent,Trent,22.255102040816325,49,6300,TOR@CLE,TOR,CLE,,,,,,SG
56827-15590,C,Mason,Mason Plumlee,Plumlee,29.96666717529297,48,6200,DET@POR,DET,POR,GTD,Concussion,,,,C
56827-9535,PG,Kyle,Kyle Lowry,Lowry,35.47179549779647,39,6200,TOR@CLE,TOR,CLE,GTD,Foot,,,,PG
56827-15557,C,Andre,Andre Drummond,Drummond,41.05555555555556,27,6100,LAL@BKN,LAL,BKN,,,,,,C
56827-85305,SF,Kenrich,Kenrich Williams,Williams,17.78846153846154,52,6100,PHI@OKC,OKC,PHI,,,,,,SF
