Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57454-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,47.708333333333336,36,10800,MIN@SAC,MIN,SAC,,,,,,C
57454-9644,SG,James,James Harden,Harden,52.14186273619186,43,10600,BKN@NO,BKN,NO,O,Hamstring,,,,SG
57454-80810,PG,De'Aaron,De'Aaron Fox,Fox,43.10357230050223,56,9900,MIN@SAC,SAC,MIN,,,,,,PG
57454-14513,SF,Kawhi,Kawhi Leonard,Leonard,45.41914789727394,47,9900,LAC@POR,LAC,POR,,,,,,SF
57454-110310,PF,Zion,Zion Williamson,Williamson,42.55283110996462,53,9800,BKN@NO,NO,BKN,,,,,,PF
57454-84671,PG,Trae,Trae Young,Young,43.24038461538461,52,9500,ORL@ATL,ATL,ORL,,,,,,PG
57454-55059,C,Clint,Clint Capela,Capela,41.742001953125,50,9400,ORL@ATL,ATL,ORL,,,,,,C
57454-14498,PG,Kyrie,Kyrie Irving,Irving,45.666666666666664,42,9400,BKN@NO,BKN,NO,,,,,,PG
57454-42669,PF,Julius,Julius Randle,Randle,45.00344743399784,58,9400,CHA@NY,NY,CHA,,,,,,PF
57454-12341,SG,Paul,Paul George,George,40.735555013020836,45,9000,LAC@POR,LAC,POR,,,,,,SG
57454-9646,SF,Kevin,Kevin Durant,Durant,44.96666463216146,24,8900,BKN@NO,BKN,NO,O,Thigh,,,,SF
57454-66048,SF,Brandon,Brandon Ingram,Ingram,39.05961491511418,52,8600,BKN@NO,NO,BKN,,,,,,SF
57454-20848,PG,Damian,Damian Lillard,Lillard,45.235849056603776,53,8400,LAC@POR,POR,LAC,O,Hamstring,,,,PG
57454-19067,SG,CJ,CJ McCollum,McCollum,38.57096616683468,31,8100,LAC@POR,POR,LAC,,,,,,SG
57454-42677,PG,Terry,Terry Rozier,Rozier,34.58490566037736,53,7800,CHA@NY,CHA,NY,,,,,,PG
57454-80806,PG,Lonzo,Lonzo Ball,Ball,31.372093023255815,43,7500,BKN@NO,NO,BKN,,,,,,PG
57454-66236,PF,John,John Collins,Collins,32.612500508626304,48,7200,ORL@ATL,ATL,ORL,,,,,,PF
57454-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,25.715625762939453,32,7100,ORL@ATL,ATL,ORL,,,,,,SF
57454-145321,SF,Anthony,Anthony Edwards,Edwards,29.853448275862068,58,7100,MIN@SAC,MIN,SAC,,,,,,SF
57454-12366,SF,Gordon,Gordon Hayward,Hayward,35.25227217240767,44,7000,CHA@NY,CHA,NY,O,Foot,,,,SF
57454-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,19.9682929806593,41,6800,BKN@NO,NO,BKN,O,Ankle,,,,SG
57454-84678,SF,Miles,Miles Bridges,Bridges,23.98392813546317,56,6800,CHA@NY,CHA,NY,,,,,,SF
57454-110352,PF,P.J.,P.J. Washington,Washington,28.367346938775512,49,6500,CHA@NY,CHA,NY,,,,,,PF
57454-23447,C,Richaun,Richaun Holmes,Holmes,33.07800048828125,50,6500,MIN@SAC,SAC,MIN,O,Hamstring,,,,C
57454-84676,C,Wendell,Wendell Carter,Carter,27.618180708451703,44,6400,ORL@ATL,ORL,ATL,,,,,,C
57454-58312,SG,D'Angelo,D'Angelo Russell,Russell,30.71785627092634,28,6300,MIN@SAC,MIN,SAC,,,,,,SG
57454-16293,SF,Norman,Norman Powell,Powell,28.049999095775462,54,6200,LAC@POR,POR,LAC,,,,,,SF
57454-84706,SG,Devonte',Devonte' Graham,Graham,26.96363691850142,44,6100,CHA@NY,CHA,NY,GTD,Quadriceps,,,,SG
57454-15946,PF,Harrison,Harrison Barnes,Barnes,30.205555103443288,54,6000,MIN@SAC,SAC,MIN,,,,,,PF
57454-23665,SF,Buddy,Buddy Hield,Hield,28.41428484235491,56,6000,MIN@SAC,SAC,MIN,,,,,,SF
57454-23169,C,Steven,Steven Adams,Adams,25.032074550412737,53,6000,BKN@NO,NO,BKN,,,,,,C
57454-9475,PG,Derrick,Derrick Rose,Rose,25.037838497677363,37,5800,CHA@NY,NY,CHA,,,,,,PG
57454-55057,C,Jusuf,Jusuf Nurkic,Nurkic,26.64999944513494,22,5800,LAC@POR,POR,LAC,O,Coach's decision,,,,C
57454-110357,SF,RJ,RJ Barrett,Barrett,29.718964675377155,58,5800,CHA@NY,NY,CHA,,,,,,SF
57454-14496,PG,Ricky,Ricky Rubio,Rubio,24.835184733072918,54,5700,MIN@SAC,MIN,SAC,,,,,,PG
